drug_id,target_nm,target_act,action2,target_org,drug_name
DB00583,Carnitine O-acetyltransferase,,0,Humans,carnitine
DB00583,"Carnitine O-palmitoyltransferase 1, liver isoform",activator,1,Humans,carnitine
DB00583,"Carnitine O-palmitoyltransferase 2, mitochondrial",,0,Humans,carnitine
DB00583,Liver carboxylesterase 1,,0,Humans,carnitine
DB00583,Mitochondrial carnitine/acylcarnitine carrier protein,,0,Humans,carnitine
DB00583,Mitochondrial carnitine/acylcarnitine carrier protein CACL,,0,Humans,carnitine
DB00583,Myeloperoxidase,,0,Humans,carnitine
DB00583,Peroxisomal carnitine O-octanoyltransferase,,0,Humans,carnitine
DB00583,Solute carrier family 22 member 4,,0,Humans,carnitine
DB00583,Solute carrier family 22 member 5,,0,Humans,carnitine
DB00583,Xanthine dehydrogenase/oxidase,,0,Humans,carnitine
DB00855,Delta-aminolevulinic acid dehydratase,inducer,1,Humans,5-aminolevulinic
DB00917,Prostaglandin D2 receptor 2,agonist,1,Humans,PGE2
DB00917,Prostaglandin E2 receptor EP1 subtype,agonist,1,Humans,PGE2
DB00917,Prostaglandin E2 receptor EP2 subtype,agonist,1,Humans,PGE2
DB00917,Prostaglandin E2 receptor EP3 subtype,agonist,1,Humans,PGE2
DB00917,Prostaglandin E2 receptor EP4 subtype,agonist,1,Humans,PGE2
DB01240,P2Y purinoceptor 12,agonist,1,Humans,prostacyclin
DB01240,Prostacyclin receptor,agonist,1,Humans,prostacyclin
DB01240,Prostacyclin synthase,inducer,1,Humans,prostacyclin
DB12789,Prostaglandin D2 receptor 2,agonist,1,Humans,prostaglandin
DB00640,Adenosine receptor A1,agonist,1,Humans,adenosine
DB00640,Adenosine receptor A2a,agonist,1,Humans,adenosine
DB00640,Adenosine receptor A2b,agonist,1,Humans,adenosine
DB00640,Adenosine receptor A3,agonist,1,Humans,adenosine
DB00770,Prostaglandin D2 receptor 2,agonist,1,Humans,PGE1
DB00770,Prostaglandin E2 receptor EP1 subtype,agonist,1,Humans,PGE1
DB00770,Prostaglandin E2 receptor EP2 subtype,agonist,1,Humans,PGE1
DB00125,"Arginase-2, mitochondrial",,0,Humans,arginine
DB00125,Arginine decarboxylase,,0,Humans,arginine
DB00125,Argininosuccinate lyase,,0,Humans,arginine
DB00125,Argininosuccinate synthase,,0,Humans,arginine
DB00125,Cationic amino acid transporter 3,,0,Humans,arginine
DB00125,Cationic amino acid transporter 4,,0,Humans,arginine
DB00125,High affinity cationic amino acid transporter 1,,0,Humans,arginine
