nBits,base_acc,acc,f1,auroc,n_estimators,learnig_rate,max_depth,reg_alpha
10,0.708281829,0.744855967,0.184210526,0.54072102,20,0.05,20,0.1
15,0.708281829,0.748971193,0.227848101,0.553552723,20,0.1,10,0.1
20,0.708281829,0.736625514,0,0.5,20,0.05,3,0.1
25,0.708281829,0.748971193,0.282352941,0.568610335,20,0.3,3,0.8
30,0.708281829,0.744855967,0.060606061,0.515625,50,0.05,3,0.1
35,0.708281829,0.736625514,0,0.5,20,0.05,3,0.1
40,0.708281829,0.736625514,0,0.5,20,0.05,3,0.3
45,0.708281829,0.736625514,0.03030303,0.505019204,20,0.05,3,0.3
50,0.708281829,0.720164609,0.028571429,0.49384602,20,0.05,3,0.5
55,0.708281829,0.757201646,0.378947368,0.604312151,30,0.3,3,0.5
60,0.708281829,0.740740741,0.059701493,0.512831704,20,0.05,3,0.8
65,0.708281829,0.744855967,0.340425532,0.585893855,30,0.2,5,0.8
70,0.708281829,0.748971193,0.282352941,0.568610335,30,0.05,7,0.5
75,0.708281829,0.736625514,0.37254902,0.595364874,30,0.2,7,0.3
80,0.708281829,0.748971193,0.115942029,0.528456704,30,0.05,3,0.5
85,0.708281829,0.740740741,0.030769231,0.5078125,30,0.05,3,0.8
90,0.708281829,0.757201646,0.191780822,0.549100908,30,0.1,3,0.8
95,0.708281829,0.748971193,0.14084507,0.533475908,20,0.05,3,0.3
100,0.708281829,0.757201646,0.169014085,0.544081704,20,0.05,7,0.1
105,0.708281829,0.748971193,0.265060241,0.563591131,20,0.1,7,0.1
110,0.708281829,0.736625514,0,0.5,20,0.05,3,0.8
115,0.708281829,0.75308642,0.387755102,0.606538059,20,0.2,10,0.5
120,0.708281829,0.736625514,0.03030303,0.505019204,20,0.05,3,0.3
125,0.708281829,0.748971193,0.24691358,0.558571927,20,0.05,7,0.1
130,0.708281829,0.744855967,0.162162162,0.535701816,20,0.05,7,0.1
135,0.708281829,0.740740741,0.112676056,0.522870112,20,0.05,3,0.3
140,0.708281829,0.740740741,0.059701493,0.512831704,20,0.1,3,0.8
145,0.708281829,0.761316872,0.369565217,0.602086243,40,0.3,20,0.8
150,0.708281829,0.761316872,0.340909091,0.592047835,40,0.05,10,0.5
155,0.708281829,0.732510288,0,0.497206704,20,0.05,3,0.3
160,0.708281829,0.757201646,0.169014085,0.544081704,20,0.05,7,0.1
165,0.708281829,0.736625514,0.157894737,0.530115223,20,0.05,7,0.1
170,0.708281829,0.75308642,0.361702128,0.596499651,20,0.2,7,0.3
175,0.708281829,0.75308642,0.166666667,0.541288408,20,0.05,7,0.3
180,0.708281829,0.757201646,0.213333333,0.554120112,50,0.05,3,0.8
185,0.708281829,0.75308642,0.268292683,0.566384427,30,0.1,3,0.3
190,0.708281829,0.761316872,0.42,0.622163059,50,0.5,7,0.1
195,0.708281829,0.757201646,0.169014085,0.544081704,20,0.05,5,0.5
200,0.708281829,0.773662551,0.337349398,0.59540852,30,0.05,20,0.5
205,0.708281829,0.765432099,0.387096774,0.609898743,20,0.2,20,0.5
210,0.708281829,0.757201646,0.213333333,0.554120112,20,0.05,10,0.3
215,0.708281829,0.740740741,0.136986301,0.527889316,30,0.05,3,0.5
220,0.708281829,0.748971193,0.227848101,0.553552723,30,0.1,3,0.3
225,0.708281829,0.75308642,0.411764706,0.616576466,50,0.2,20,0.5
230,0.708281829,0.748971193,0.383838384,0.603744763,40,0.4,20,0.5
235,0.708281829,0.761316872,0.292682927,0.576990223,50,0.05,10,0.3
240,0.708281829,0.744855967,0.088235294,0.520644204,20,0.05,5,0.1
245,0.708281829,0.748971193,0.115942029,0.528456704,20,0.05,5,0.8
250,0.708281829,0.757201646,0.289156627,0.574196927,20,0.1,20,0.8
255,0.708281829,0.761316872,0.275,0.57197102,40,0.05,5,0.1
260,0.708281829,0.748971193,0.089552239,0.5234375,20,0.05,5,0.3
265,0.708281829,0.765432099,0.359550562,0.599860335,50,0.1,10,0.8
270,0.708281829,0.736625514,0.272727273,0.560230447,20,0.3,10,0.3
275,0.708281829,0.740740741,0.030769231,0.5078125,20,0.05,5,0.5
280,0.708281829,0.748971193,0.186666667,0.543514316,30,0.1,5,0.1
285,0.708281829,0.740740741,0.16,0.53290852,30,0.05,3,0.1
290,0.708281829,0.75308642,0.423076923,0.62159567,60,0.4,20,0.1
295,0.708281829,0.757201646,0.144927536,0.5390625,20,0.05,10,0.1
