atccode,drug_name,target_name,action
B01AE02,Lepirudin,Prothrombin,inhibitor
L01FE01,Cetuximab,Epidermal growth factor receptor,binder
L01FE01,Cetuximab,Low affinity immunoglobulin gamma Fc region receptor III-B,binder
L01FE01,Cetuximab,Complement C1q subcomponent subunit A,binder
L01FE01,Cetuximab,Complement C1q subcomponent subunit B,binder
L01FE01,Cetuximab,Complement C1q subcomponent subunit C,binder
L01FE01,Cetuximab,Low affinity immunoglobulin gamma Fc region receptor III-A,binder
L01FE01,Cetuximab,High affinity immunoglobulin gamma Fc receptor I,binder
L01FE01,Cetuximab,Low affinity immunoglobulin gamma Fc region receptor II-a,binder
L01XX29,Denileukin diftitox,Interleukin-2 receptor subunit alpha,binder
L01XX29,Denileukin diftitox,Interleukin-2 receptor subunit alpha,agonist
L01XX29,Denileukin diftitox,Interleukin-2 receptor subunit beta,binder
L01XX29,Denileukin diftitox,Interleukin-2 receptor subunit beta,agonist
L01XX29,Denileukin diftitox,Cytokine receptor common subunit gamma,binder
L01XX29,Denileukin diftitox,Cytokine receptor common subunit gamma,agonist
L04AB01,Etanercept,Tumor necrosis factor,antibody
L04AB01,Etanercept,Tumor necrosis factor,ligand
L04AB01,Etanercept,High affinity immunoglobulin gamma Fc receptor I,antibody
L04AB01,Etanercept,High affinity immunoglobulin gamma Fc receptor I,ligand
L04AB01,Etanercept,Low affinity immunoglobulin gamma Fc region receptor II-a,antibody
L04AB01,Etanercept,Low affinity immunoglobulin gamma Fc region receptor II-a,ligand
L04AB01,Etanercept,Low affinity immunoglobulin gamma Fc region receptor II-b,antibody
L04AB01,Etanercept,Low affinity immunoglobulin gamma Fc region receptor II-b,ligand
L04AB01,Etanercept,Low affinity immunoglobulin gamma Fc region receptor II-c,antibody
L04AB01,Etanercept,Low affinity immunoglobulin gamma Fc region receptor II-c,ligand
L04AB01,Etanercept,Low affinity immunoglobulin gamma Fc region receptor III-A,antibody
L04AB01,Etanercept,Low affinity immunoglobulin gamma Fc region receptor III-A,ligand
L04AB01,Etanercept,Low affinity immunoglobulin gamma Fc region receptor III-B,antibody
L04AB01,Etanercept,Low affinity immunoglobulin gamma Fc region receptor III-B,ligand
L04AB01,Etanercept,Lymphotoxin-alpha,antibody
L04AB01,Etanercept,Lymphotoxin-alpha,ligand
L04AB01,Etanercept,Complement component 1q (C1q),antibody
L04AB01,Etanercept,Complement component 1q (C1q),ligand
B01AE06,Bivalirudin,Prothrombin,inhibitor
L03AB11,Peginterferon alfa-2a,Interferon alpha/beta receptor 2,agonist
L03AB11,Peginterferon alfa-2a,Interferon alpha/beta receptor 1,agonist
B01AD02,Alteplase,Plasminogen,activator
B01AD02,Alteplase,Fibrinogen alpha chain,activator
B01AD02,Alteplase,Urokinase plasminogen activator surface receptor,activator
B01AD02,Alteplase,Plasminogen activator inhibitor 1,activator
H01AC04,Sermorelin,Growth hormone-releasing hormone receptor,agonist
L03AB06,Interferon alfa-n1,Interferon alpha/beta receptor 1,agonist
L03AB06,Interferon alfa-n1,Interferon alpha/beta receptor 2,agonist
B03XA02,Darbepoetin alfa,Erythropoietin receptor,agonist
B01AD04,Urokinase,Plasminogen,activator
B01AD04,Urokinase,Plasminogen,inducer
B01AD04,Urokinase,Plasminogen,modulator
B01AD04,Urokinase,Plasminogen,substrate
B01AD04,Urokinase,Plasminogen,ligand
B01AD04,Urokinase,Urokinase plasminogen activator surface receptor,activator
B01AD04,Urokinase,Urokinase plasminogen activator surface receptor,inducer
B01AD04,Urokinase,Urokinase plasminogen activator surface receptor,modulator
B01AD04,Urokinase,Urokinase plasminogen activator surface receptor,substrate
B01AD04,Urokinase,Urokinase plasminogen activator surface receptor,ligand
B01AD04,Urokinase,Plasminogen activator inhibitor 1,activator
B01AD04,Urokinase,Plasminogen activator inhibitor 1,inducer
B01AD04,Urokinase,Plasminogen activator inhibitor 1,modulator
B01AD04,Urokinase,Plasminogen activator inhibitor 1,substrate
B01AD04,Urokinase,Plasminogen activator inhibitor 1,ligand
B01AD04,Urokinase,Plasminogen activator inhibitor 2,activator
B01AD04,Urokinase,Plasminogen activator inhibitor 2,inducer
B01AD04,Urokinase,Plasminogen activator inhibitor 2,modulator
B01AD04,Urokinase,Plasminogen activator inhibitor 2,substrate
B01AD04,Urokinase,Plasminogen activator inhibitor 2,ligand
B01AD04,Urokinase,Plasma serine protease inhibitor,activator
B01AD04,Urokinase,Plasma serine protease inhibitor,inducer
B01AD04,Urokinase,Plasma serine protease inhibitor,modulator
B01AD04,Urokinase,Plasma serine protease inhibitor,substrate
B01AD04,Urokinase,Plasma serine protease inhibitor,ligand
B01AD04,Urokinase,Low-density lipoprotein receptor-related protein 2,activator
B01AD04,Urokinase,Low-density lipoprotein receptor-related protein 2,inducer
B01AD04,Urokinase,Low-density lipoprotein receptor-related protein 2,modulator
B01AD04,Urokinase,Low-density lipoprotein receptor-related protein 2,substrate
B01AD04,Urokinase,Low-density lipoprotein receptor-related protein 2,ligand
B01AD04,Urokinase,Suppressor of tumorigenicity 14 protein,activator
B01AD04,Urokinase,Suppressor of tumorigenicity 14 protein,inducer
B01AD04,Urokinase,Suppressor of tumorigenicity 14 protein,modulator
B01AD04,Urokinase,Suppressor of tumorigenicity 14 protein,substrate
B01AD04,Urokinase,Suppressor of tumorigenicity 14 protein,ligand
B01AD04,Urokinase,Nidogen-1,activator
B01AD04,Urokinase,Nidogen-1,inducer
B01AD04,Urokinase,Nidogen-1,modulator
B01AD04,Urokinase,Nidogen-1,substrate
B01AD04,Urokinase,Nidogen-1,ligand
L02AE03,Goserelin,Lutropin-choriogonadotropic hormone receptor,agonist
L02AE03,Goserelin,Gonadotropin-releasing hormone receptor,agonist
B01AD07,Reteplase,Plasminogen,activator
