adr_name,base_acc,f1_test_acc,f1_f1_score,f1_recall_scaore,f1_confusion_matrix,f1_n_estimators,f1_min_sample_split,f1_max_depth,acc_test_acc,acc_f1_score,acc_recall_scaore,acc_confusion_matrix,acc_n_estimators,acc_min_sample_split,acc_max_depth,rs_test_acc,rs_f1_score,rs_recall_scaore,rs_confusion_matrix,rs_n_estimators,rs_min_sample_split,rs_max_depth
ACUTEKIDNEYINJURY,0.8936959208899876,0.7654320987654321,0.0,0.0,"[[62 10]
 [ 9  0]]",7,9,17,0.8271604938271605,0.0,0.0,"[[67  5]
 [ 9  0]]",2,2,16,0.6049382716049383,0.15789473684210528,0.3333333333333333,"[[46 26]
 [ 6  3]]",1,9,8
AGRANULOCYTOSIS,0.8566131025957973,0.7777777777777778,0.30769230769230765,0.3333333333333333,"[[59 10]
 [ 8  4]]",3,9,17,0.8024691358024691,0.3333333333333333,0.3333333333333333,"[[61  8]
 [ 8  4]]",4,2,16,0.691358024691358,0.2857142857142857,0.4166666666666667,"[[51 18]
 [ 7  5]]",1,2,11
ANAPHYLACTICSHOCK,0.7206427688504327,0.5679012345679012,0.28571428571428575,0.30434782608695654,"[[39 19]
 [16  7]]",1,3,11,0.6419753086419753,0.1714285714285714,0.13043478260869565,"[[49  9]
 [20  3]]",2,3,17,0.5925925925925926,0.32653061224489793,0.34782608695652173,"[[40 18]
 [15  8]]",1,7,11
ATRIALFIBRILLATION,0.8800988875154512,0.7283950617283951,0.21428571428571427,0.3,"[[56 15]
 [ 7  3]]",11,6,9,0.7777777777777778,0.10000000000000002,0.1,"[[62  9]
 [ 9  1]]",2,2,14,0.7160493827160493,0.20689655172413793,0.3,"[[55 16]
 [ 7  3]]",1,3,8
CARDIACDISORDER,0.8640296662546354,0.7777777777777778,0.35714285714285715,0.45454545454545453,"[[58 12]
 [ 6  5]]",7,3,17,0.7901234567901234,0.32,0.36363636363636365,"[[60 10]
 [ 7  4]]",10,3,17,0.654320987654321,0.2222222222222222,0.36363636363636365,"[[49 21]
 [ 7  4]]",1,2,8
CARDIACFAILURE,0.8986402966625464,0.7777777777777778,0.35714285714285715,0.625,"[[58 15]
 [ 3  5]]",1,4,10,0.8765432098765432,0.28571428571428575,0.25,"[[69  4]
 [ 6  2]]",2,3,16,0.7777777777777778,0.35714285714285715,0.625,"[[58 15]
 [ 3  5]]",1,4,10
CEREBROVASCULARACCIDENT,0.896168108776267,0.8641975308641975,0.4210526315789474,0.5,"[[66  7]
 [ 4  4]]",2,9,15,0.8641975308641975,0.26666666666666666,0.25,"[[68  5]
 [ 6  2]]",2,2,15,0.7901234567901234,0.4137931034482759,0.75,"[[58 15]
 [ 2  6]]",3,2,8
ERYTHEMAMULTIFORME,0.8491965389369592,0.5555555555555556,0.30769230769230765,0.6666666666666666,"[[37 32]
 [ 4  8]]",1,7,9,0.7160493827160493,0.20689655172413793,0.25,"[[55 14]
 [ 9  3]]",2,3,17,0.5555555555555556,0.30769230769230765,0.6666666666666666,"[[37 32]
 [ 4  8]]",1,7,9
HEPATICFAILURE,0.8813349814585909,0.7283950617283951,0.15384615384615385,0.2,"[[57 14]
 [ 8  2]]",11,4,17,0.7654320987654321,0.17391304347826086,0.2,"[[60 11]
 [ 8  2]]",2,4,17,0.7283950617283951,0.15384615384615385,0.2,"[[57 14]
 [ 8  2]]",1,7,8
JAUNDICE,0.8491965389369592,0.6296296296296297,0.21052631578947367,0.3333333333333333,"[[47 22]
 [ 8  4]]",3,3,15,0.7407407407407407,0.0,0.0,"[[60  9]
 [12  0]]",2,3,17,0.6049382716049383,0.3043478260869565,0.5833333333333334,"[[42 27]
 [ 5  7]]",1,4,9
