adr_name,base_acc,f1_test_acc,f1_f1_score,f1_recall_scaore,f1_confusion_matrix,f1_n_estimators,f1_min_sample_split,f1_max_depth,acc_test_acc,acc_f1_score,acc_recall_scaore,acc_confusion_matrix,acc_n_estimators,acc_min_sample_split,acc_max_depth,rs_test_acc,rs_f1_score,rs_recall_scaore,rs_confusion_matrix,rs_n_estimators,rs_min_sample_split,rs_max_depth
ACUTEKIDNEYINJURY,0.8936959208899876,0.8024691358024691,0.38461538461538464,0.5555555555555556,"[[60 12]
 [ 4  5]]",11,10,9,0.8518518518518519,0.3333333333333333,0.3333333333333333,"[[66  6]
 [ 6  3]]",2,3,17,0.6296296296296297,0.11764705882352941,0.2222222222222222,"[[49 23]
 [ 7  2]]",1,3,8
AGRANULOCYTOSIS,0.8566131025957973,0.6790123456790124,0.0,0.0,"[[55 14]
 [12  0]]",1,6,10,0.8024691358024691,0.1111111111111111,0.08333333333333333,"[[64  5]
 [11  1]]",2,5,17,0.7530864197530864,0.23076923076923078,0.25,"[[58 11]
 [ 9  3]]",1,4,9
ANAPHYLACTICSHOCK,0.7206427688504327,0.5555555555555556,0.28,0.30434782608695654,"[[38 20]
 [16  7]]",5,5,9,0.7283950617283951,0.35294117647058826,0.2608695652173913,"[[53  5]
 [17  6]]",2,2,17,0.691358024691358,0.5283018867924528,0.6086956521739131,"[[42 16]
 [ 9 14]]",1,3,16
ATRIALFIBRILLATION,0.8800988875154512,0.7407407407407407,0.27586206896551724,0.4,"[[56 15]
 [ 6  4]]",9,2,15,0.8024691358024691,0.2727272727272727,0.3,"[[62  9]
 [ 7  3]]",2,2,16,0.6172839506172839,0.20512820512820512,0.4,"[[46 25]
 [ 6  4]]",1,6,8
CARDIACDISORDER,0.8640296662546354,0.7283950617283951,0.21428571428571427,0.2727272727272727,"[[56 14]
 [ 8  3]]",8,9,16,0.8148148148148148,0.2857142857142857,0.2727272727272727,"[[63  7]
 [ 8  3]]",2,3,17,0.6790123456790124,0.1875,0.2727272727272727,"[[52 18]
 [ 8  3]]",2,8,9
CARDIACFAILURE,0.8986402966625464,0.6666666666666666,0.12903225806451613,0.25,"[[52 21]
 [ 6  2]]",2,9,8,0.7654320987654321,0.0,0.0,"[[62 11]
 [ 8  0]]",6,3,17,0.6049382716049383,0.15789473684210525,0.375,"[[46 27]
 [ 5  3]]",1,9,8
CEREBROVASCULARACCIDENT,0.896168108776267,0.7283950617283951,0.3125,0.625,"[[54 19]
 [ 3  5]]",8,3,9,0.8024691358024691,0.2727272727272727,0.375,"[[62 11]
 [ 5  3]]",2,2,17,0.6790123456790124,0.2777777777777778,0.625,"[[50 23]
 [ 3  5]]",2,3,8
ERYTHEMAMULTIFORME,0.8491965389369592,0.7283950617283951,0.0,0.0,"[[59 10]
 [12  0]]",9,4,10,0.7654320987654321,0.09523809523809523,0.08333333333333333,"[[61  8]
 [11  1]]",2,4,17,0.6666666666666666,0.06896551724137931,0.08333333333333333,"[[53 16]
 [11  1]]",3,5,8
HEPATICFAILURE,0.8813349814585909,0.7654320987654321,0.17391304347826086,0.2,"[[60 11]
 [ 8  2]]",3,9,11,0.8148148148148148,0.11764705882352941,0.1,"[[65  6]
 [ 9  1]]",2,3,17,0.6666666666666666,0.12903225806451613,0.2,"[[52 19]
 [ 8  2]]",1,2,10
JAUNDICE,0.8491965389369592,0.691358024691358,0.13793103448275862,0.16666666666666666,"[[54 15]
 [10  2]]",6,3,13,0.7901234567901234,0.2608695652173913,0.25,"[[61  8]
 [ 9  3]]",2,2,17,0.6419753086419753,0.06451612903225806,0.08333333333333333,"[[51 18]
 [11  1]]",1,9,11
LEUKOPENIA,0.754017305315204,0.5308641975308642,0.24,0.3,"[[37 24]
 [14  6]]",1,5,9,0.6419753086419753,0.06451612903225806,0.05,"[[51 10]
 [19  1]]",2,2,16,0.49382716049382713,0.4057971014492754,0.7,"[[26 35]
 [ 6 14]]",1,5,8
MYOCARDIALINFARCTION,0.8566131025957973,0.6666666666666666,0.2702702702702703,0.4166666666666667,"[[49 20]
 [ 7  5]]",12,3,9,0.7283950617283951,0.21428571428571427,0.25,"[[56 13]
 [ 9  3]]",2,2,17,0.5802469135802469,0.22727272727272727,0.4166666666666667,"[[42 27]
 [ 7  5]]",1,9,9
NEUTROPENIA,0.8108776266996292,0.7037037037037037,0.2,0.2,"[[54 12]
 [12  3]]",3,7,13,0.7283950617283951,0.21428571428571427,0.2,"[[56 10]
 [12  3]]",2,2,16,0.6790123456790124,0.1875,0.2,"[[52 14]
 [12  3]]",1,8,10
PALPITATIONS,0.754017305315204,0.5432098765432098,0.39344262295081966,0.6,"[[32 29]
 [ 8 12]]",1,10,9,0.6296296296296297,0.0625,0.05,"[[50 11]
 [19  1]]",2,2,17,0.5432098765432098,0.39344262295081966,0.6,"[[32 29]
 [ 8 12]]",1,10,9
PANCREATITIS,0.830655129789864,0.7901234567901234,0.37037037037037035,0.35714285714285715,"[[59  8]
 [ 9  5]]",5,9,15,0.7407407407407407,0.2222222222222222,0.21428571428571427,"[[57 10]
 [11  3]]",2,3,17,0.6049382716049383,0.23809523809523808,0.35714285714285715,"[[44 23]
 [ 9  5]]",1,2,9
PANCYTOPENIA,0.8949320148331273,0.7037037037037037,0.07692307692307693,0.1111111111111111,"[[56 16]
 [ 8  1]]",2,2,10,0.8148148148148148,0.11764705882352941,0.1111111111111111,"[[65  7]
 [ 8  1]]",2,2,17,0.7283950617283951,0.0,0.0,"[[59 13]
 [ 9  0]]",1,2,10
PNEUMONIA,0.8108776266996292,0.7283950617283951,0.42105263157894735,0.5333333333333333,"[[51 15]
 [ 7  8]]",5,6,10,0.7777777777777778,0.1,0.06666666666666667,"[[62  4]
 [14  1]]",2,2,17,0.6666666666666666,0.3076923076923077,0.4,"[[48 18]
 [ 9  6]]",2,6,8
RENALFAILURE,0.8936959208899876,0.7777777777777778,0.18181818181818182,0.2222222222222222,"[[61 11]
 [ 7  2]]",7,5,15,0.7901234567901234,0.10526315789473684,0.1111111111111111,"[[63  9]
 [ 8  1]]",4,2,16,0.7160493827160493,0.14814814814814814,0.2222222222222222,"[[56 16]
 [ 7  2]]",1,6,17
SEIZURE,0.7725587144622992,0.6666666666666666,0.37209302325581395,0.4444444444444444,"[[46 17]
 [10  8]]",10,9,11,0.7160493827160493,0.25806451612903225,0.2222222222222222,"[[54  9]
 [14  4]]",2,3,17,0.6296296296296297,0.4230769230769231,0.6111111111111112,"[[40 23]
 [ 7 11]]",1,2,8
STEVENSJOHNSONSYNDROME,0.788627935723115,0.691358024691358,0.358974358974359,0.4117647058823529,"[[49 15]
 [10  7]]",4,10,10,0.654320987654321,0.125,0.11764705882352941,"[[51 13]
 [15  2]]",2,2,17,0.5679012345679012,0.2553191489361702,0.35294117647058826,"[[40 24]
 [11  6]]",1,2,8
TACHYCARDIA,0.7330037082818295,0.6049382716049383,0.4838709677419355,0.6818181818181818,"[[34 25]
 [ 7 15]]",1,3,8,0.6049382716049383,0.36,0.4090909090909091,"[[40 19]
 [13  9]]",4,2,15,0.6049382716049383,0.4838709677419355,0.6818181818181818,"[[34 25]
 [ 7 15]]",1,3,8
THROMBOCYTOPENIA,0.681087762669963,0.5185185185185185,0.4,0.5,"[[29 26]
 [13 13]]",10,4,8,0.6666666666666666,0.4,0.34615384615384615,"[[45 10]
 [17  9]]",2,2,16,0.49382716049382713,0.32786885245901637,0.38461538461538464,"[[30 25]
 [16 10]]",1,6,11
TOXICEPIDERMALNECROLYSIS,0.8430160692212608,0.7283950617283951,0.3125,0.38461538461538464,"[[54 14]
 [ 8  5]]",2,5,10,0.7901234567901234,0.2608695652173913,0.23076923076923078,"[[61  7]
 [10  3]]",2,2,17,0.7901234567901234,0.2608695652173913,0.23076923076923078,"[[61  7]
 [10  3]]",1,6,9
