adr_name,base_acc,f1_test_acc,f1_f1_score,f1_recall_scaore,f1_confusion_matrix,f1_n_estimators,f1_min_sample_split,f1_max_depth,acc_test_acc,acc_f1_score,acc_recall_scaore,acc_confusion_matrix,acc_n_estimators,acc_min_sample_split,acc_max_depth,rs_test_acc,rs_f1_score,rs_recall_scaore,rs_confusion_matrix,rs_n_estimators,rs_min_sample_split,rs_max_depth
ACUTEKIDNEYINJURY,0.8936959208899876,0.8271604938271605,0.36363636363636365,0.4444444444444444,"[[63  9]
 [ 5  4]]",4,8,11,0.8641975308641975,0.35294117647058826,0.3333333333333333,"[[67  5]
 [ 6  3]]",2,2,17,0.6790123456790124,0.1875,0.3333333333333333,"[[52 20]
 [ 6  3]]",1,4,9
AGRANULOCYTOSIS,0.8566131025957973,0.7160493827160493,0.20689655172413793,0.25,"[[55 14]
 [ 9  3]]",5,6,12,0.8395061728395061,0.3157894736842105,0.25,"[[65  4]
 [ 9  3]]",13,7,13,0.7407407407407407,0.2222222222222222,0.25,"[[57 12]
 [ 9  3]]",1,5,8
ANAPHYLACTICSHOCK,0.7206427688504327,0.6419753086419753,0.32558139534883723,0.30434782608695654,"[[45 13]
 [16  7]]",9,8,8,0.7037037037037037,0.29411764705882354,0.21739130434782608,"[[52  6]
 [18  5]]",2,2,14,0.654320987654321,0.5172413793103449,0.6521739130434783,"[[38 20]
 [ 8 15]]",1,3,10
ATRIALFIBRILLATION,0.8800988875154512,0.7037037037037037,0.2,0.3,"[[54 17]
 [ 7  3]]",1,3,9,0.8024691358024691,0.1111111111111111,0.1,"[[64  7]
 [ 9  1]]",2,3,17,0.7037037037037037,0.2,0.3,"[[54 17]
 [ 7  3]]",1,3,9
CARDIACDISORDER,0.8640296662546354,0.654320987654321,0.06666666666666667,0.09090909090909091,"[[52 18]
 [10  1]]",2,3,9,0.7777777777777778,0.1,0.09090909090909091,"[[62  8]
 [10  1]]",2,2,15,0.7037037037037037,0.07692307692307693,0.09090909090909091,"[[56 14]
 [10  1]]",1,2,10
CARDIACFAILURE,0.8986402966625464,0.8024691358024691,0.3333333333333333,0.5,"[[61 12]
 [ 4  4]]",4,8,16,0.7530864197530864,0.09090909090909091,0.125,"[[60 13]
 [ 7  1]]",2,3,15,0.654320987654321,0.2222222222222222,0.5,"[[49 24]
 [ 4  4]]",1,5,9
CEREBROVASCULARACCIDENT,0.896168108776267,0.7530864197530864,0.16666666666666666,0.25,"[[59 14]
 [ 6  2]]",6,6,10,0.7901234567901234,0.10526315789473684,0.125,"[[63 10]
 [ 7  1]]",2,2,17,0.6666666666666666,0.06896551724137931,0.125,"[[53 20]
 [ 7  1]]",1,6,9
ERYTHEMAMULTIFORME,0.8491965389369592,0.6419753086419753,0.12121212121212122,0.16666666666666666,"[[50 19]
 [10  2]]",3,7,17,0.691358024691358,0.0,0.0,"[[56 13]
 [12  0]]",2,3,16,0.5432098765432098,0.24489795918367346,0.5,"[[38 31]
 [ 6  6]]",1,9,9
HEPATICFAILURE,0.8813349814585909,0.7160493827160493,0.08,0.1,"[[57 14]
 [ 9  1]]",13,7,12,0.8518518518518519,0.45454545454545453,0.5,"[[64  7]
 [ 5  5]]",2,2,16,0.6790123456790124,0.2777777777777778,0.5,"[[50 21]
 [ 5  5]]",1,3,8
JAUNDICE,0.8491965389369592,0.6666666666666666,0.18181818181818182,0.25,"[[51 18]
 [ 9  3]]",4,7,9,0.7160493827160493,0.0,0.0,"[[58 11]
 [12  0]]",2,2,17,0.6666666666666666,0.22857142857142856,0.3333333333333333,"[[50 19]
 [ 8  4]]",1,10,9
