drug_id,target_nm
DB00833,Penicillin-binding protein 3
DB00833,Penicillin-binding protein 1A
DB00999,Calcium-activated potassium channel subunit alpha-1
DB00999,Solute carrier family 12 member 3
DB00485,Penicillin-binding protein 3
DB00485,Penicillin-binding protein 3
DB00485,Penicillin-binding protein 1A
DB00485,Penicillin-binding protein 1b
DB00485,Penicillin-binding protein 2a
DB00485,Penicillin-binding protein 2B
DB00440,Dihydrofolate reductase
DB00438,Beta-lactamase Toho-1
DB00438,Peptidoglycan synthase FtsI
DB00438,Penicillin-binding protein 1A
DB00438,Penicillin-binding protein 1B
DB00438,Penicillin-binding protein 2
DB00280,Muscarinic acetylcholine receptor M1
DB00280,Muscarinic acetylcholine receptor M3
DB00280,Sodium channel protein type 5 subunit alpha
DB00280,Potassium voltage-gated channel subfamily D member 3
DB00280,Muscarinic acetylcholine receptor M2
DB00280,Potassium voltage-gated channel subfamily D member 2
DB00280,Potassium voltage-gated channel subfamily H member 2
DB00280,Alpha-1-acid glycoprotein 2
DB00573,Prostaglandin G/H synthase 1
DB00573,Prostaglandin G/H synthase 2
DB00573,Peroxisome proliferator-activated receptor alpha
DB00573,Peroxisome proliferator-activated receptor gamma
DB00607,Penicillin-binding protein 1b
DB00607,Penicillin-binding protein 2B
DB00607,Penicillin-binding protein 2a
DB00607,Penicillin-binding protein 3
DB00607,Penicillin-binding protein 1A
DB00713,Penicillin-binding protein 1A
DB00713,Penicillin-binding protein 1A
DB00713,Penicillin-binding protein 3
DB00713,Penicillin-binding protein 2B
DB00713,Penicillin-binding protein 1b
DB00713,Solute carrier family 15 member 1
DB00713,Penicillin-binding protein 2a
DB00713,Penicillin-binding protein 2
DB00713,Solute carrier family 15 member 2
DB00713,Beta-lactamase Toho-1
DB00430,Peptidoglycan synthase FtsI
DB00430,Penicillin-binding protein 1B
DB00430,D-alanyl-D-alanine carboxypeptidase DacC
DB00430,Penicillin binding protein 2a
DB00430,Penicillin-binding protein 1B
DB00430,Penicillin-binding protein 1A
DB00430,Penicillin-binding protein 1A
DB01060,Penicillin binding protein
DB00997,Nucleolar and coiled-body phosphoprotein 1
DB00997,DNA topoisomerase 1
DB00997,DNA topoisomerase 2-beta
DB00997,DNA topoisomerase 2-alpha
DB00997,DNA
DB00878,Bacterial outer membrane
