drug_id,drug_name,atc
DB00001,Refludan,Direct thrombin inhibitors
DB00006,Bivalirudin,Direct thrombin inhibitors
DB00007,Leuprorelin,Gonadotropin releasing hormone analogues
DB00014,Goserelin,Gonadotropin releasing hormone analogues
DB00016,2-hydroxysuccinaldehyde,Other antianemic preparations
DB00030,Insulin,Insulins and analogues for inhalation
DB00030,Insulin,"Insulins and analogues for injection, fast-acting"
DB00030,Insulin,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
DB00030,Insulin,"Insulins and analogues for injection, intermediate-acting"
DB00030,Insulin,"Insulins and analogues for injection, long-acting"
DB00035,desmopressin,Vasopressin and analogues
DB00046,Humalog,"Insulins and analogues for injection, fast-acting"
DB00046,Humalog,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
DB00046,Humalog,"Insulins and analogues for injection, intermediate-acting"
DB00047,Lantus,"Insulins and analogues for injection, long-acting"
DB00049,rasburicase,Detoxifying agents for antineoplastic treatment
DB00049,rasburicase,Other antigout preparations
DB00050,cetrorelix,Anti-gonadotropin-releasing hormones
DB00063,Eptifibatide,Platelet aggregation inhibitors excl. heparin
DB00071,Insulin,"Insulins and analogues for injection, fast-acting"
DB00071,Insulin,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
DB00071,Insulin,"Insulins and analogues for injection, intermediate-acting"
DB00071,Insulin,"Insulins and analogues for injection, long-acting"
DB00075,Ge-132,Selective immunosuppressants
DB00080,LY146032,Other antibacterials
DB00091,v,Calcineurin inhibitors
DB00091,v,Other ophthalmologicals
DB00094,Metrodin,Gonadotropins
DB00104,Octreotide,Somatostatin and analogues
DB00105,K779,Interferons
DB00106,Abarelix,Other hormone antagonists and related agents
DB00107,oxytocin,"Ergot alkaloids and oxytocin incl. analogues, in combination"
DB00107,oxytocin,Oxytocin and analogues
DB00109,Enfuvirtide,Other antivirals
DB00125,arginine,Amino acids
DB00125,arginine,Detoxifying agents for antineoplastic treatment
DB00130,glutamine,Amino acids and derivatives
DB00136,"1,25(OH)2D3",Other antipsoriatics for topical use
DB00136,"1,25(OH)2D3",Vitamin D and analogues
DB00145,glycine,Other irrigating solutions
DB00175,pravastatin,HMG CoA reductase inhibitors
DB00175,pravastatin,HMG CoA reductase inhibitors in combination with other lipid modifying agents
DB00175,pravastatin,"HMG CoA reductase inhibitors, other combinations"
DB00176,fluvoxamine,Selective serotonin reuptake inhibitors
DB00177,valsartan,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
DB00177,valsartan,Angiotensin II receptor blockers (ARBs) and diuretics
DB00177,valsartan,"Angiotensin II receptor blockers (ARBs), other combinations"
DB00177,valsartan,"Angiotensin II receptor blockers (ARBs), plain"
DB00177,valsartan,"HMG CoA reductase inhibitors, other combinations"
DB00178,ramipril,ACE inhibitors and calcium channel blockers
DB00178,ramipril,ACE inhibitors and diuretics
DB00178,ramipril,"ACE inhibitors, other combinations"
DB00178,ramipril,"ACE inhibitors, plain"
DB00178,ramipril,"HMG CoA reductase inhibitors, other combinations"
DB00180,flunisolide,Corticosteroids
DB00180,flunisolide,Glucocorticoids
DB00181,baclofen,Other centrally acting agents
DB00182,amphetamine,Centrally acting sympathomimetics
DB00184,nicotine,Drugs used in nicotine dependence
DB00185,cevimeline,Other parasympathomimetics
DB00186,lorazepam,Benzodiazepine derivatives
DB00187,esmolol,"Beta blocking agents, selective"
DB00188,bortezomib,Other antineoplastic agents
DB00193,tramadol,Opioids in combination with non-opioid analgesics
DB00193,tramadol,Other opioids
DB00195,betaxolol,Beta blocking agents
DB00195,betaxolol,"Beta blocking agents, selective"
DB00196,fluconazole,Combinations of antibacterials
DB00196,fluconazole,Imidazole and triazole derivatives
DB00196,fluconazole,Triazole derivatives
DB00197,troglitazone,Thiazolidinediones
DB00198,oseltamivir,Neuraminidase inhibitors
DB00200,hydroxocobalamin,Antidotes
DB00200,hydroxocobalamin,Vitamin B12 (cyanocobalamin and analogues)
DB00201,caffeine,Tests for gastric secretion
DB00201,caffeine,Xanthine derivatives
DB00201,caffeine,Xanthines
DB00203,sildenafil,Drugs used in erectile dysfunction
DB00203,sildenafil,Sulfonamides
DB00204,dofetilide,"Antiarrhythmics, class III"
DB00207,azithromycin,Antibiotics
DB00207,azithromycin,Combinations of antibacterials
DB00207,azithromycin,Macrolides
DB00209,trospium,Drugs for urinary frequency and incontinence
DB00209,trospium,Synthetic anticholinergic agents in combination with analgesics
DB00210,adapalene,Retinoids for topical use in acne
DB00211,midodrine,Adrenergic and dopaminergic agents
DB00213,pantoprazole,Combinations for eradication of Helicobacter pylori
DB00213,pantoprazole,Proton pump inhibitors
DB00214,torasemide,Sulfonamides
DB00214,torasemide,"Sulfonamides, plain"
DB00215,citalopram,Selective serotonin reuptake inhibitors
DB00216,eletriptan,Selective serotonin (5HT1) agonists
DB00218,moxifloxacin,Fluoroquinolones
DB00220,nelfinavir,Protease inhibitors
DB00222,glimepiride,Combinations of oral blood glucose lowering drugs
DB00222,glimepiride,Sulfonylureas
DB00224,indinavir,Protease inhibitors
DB00225,gadodiamide,Paramagnetic contrast media
DB00227,lovastatin,HMG CoA reductase inhibitors
DB00227,lovastatin,HMG CoA reductase inhibitors in combination with other lipid modifying agents
DB00230,pregabalin,Other antiepileptics
DB00231,temazepam,Benzodiazepine derivatives
DB00234,reboxetine,Other antidepressants
DB00235,milrinone,Phosphodiesterase inhibitors
DB00238,nevirapine,"Antivirals for treatment of HIV infections, combinations"
DB00238,nevirapine,Non-nucleoside reverse transcriptase inhibitors
DB00239,oxiconazole,Imidazole and triazole derivatives
DB00239,oxiconazole,Imidazole derivatives
DB00242,cladribine,Purine analogues
DB00242,cladribine,Selective immunosuppressants
DB00243,ranolazine,Other cardiac preparations
DB00244,5-ASA,Aminosalicylic acid and similar agents
DB00246,ziprasidone,Indole derivatives
DB00248,cabergoline,Dopamine agonists
DB00248,cabergoline,Prolactine inhibitors
DB00250,dapsone,Drugs for treatment of lepra
DB00250,dapsone,Other anti-acne preparations for topical use
DB00251,terconazole,Triazole derivatives
DB00252,phenytoin,Hydantoin derivatives
DB00254,doxycycline,Antiinfectives and antiseptics for local oral treatment
DB00254,doxycycline,Tetracyclines
DB00256,lymecycline,Tetracyclines
DB00261,anagrelide,Other antineoplastic agents
DB00262,BCNU,Nitrosoureas
DB00264,metoprolol,Beta blocking agents and calcium channel blockers
DB00264,metoprolol,"Beta blocking agents, other combinations"
DB00264,metoprolol,"Beta blocking agents, selective"
DB00264,metoprolol,"Beta blocking agents, selective, and other diuretics"
DB00264,metoprolol,"Beta blocking agents, selective, and thiazides"
DB00268,ropinirole,Dopamine agonists
DB00270,isradipine,Dihydropyridine derivatives
DB00273,topiramate,Other antiepileptics
DB00275,olmesartan,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
